ITEM  TC1        BIN        Binary               Hexadecimal
============================================================
1     -39        217        11011001             D9        
2     -36        220        11011100             DC        
3     8          8          1000                 8         
4     34         34         100010               22        
5     17         17         10001                11        
6     49         49         110001               31        
7     5          5          101                  5         
8     0          0          0                    0         
9     33         33         100001               21        
10    12         12         1100                 C         
11    -6         250        11111010             FA        
12    27         27         11011                1B        
13    -4         252        11111100             FC        
14    -38        218        11011010             DA        
15    26         26         11010                1A        
16    49         49         110001               31        
17    29         29         11101                1D        
18    42         42         101010               2A        
19    -16        240        11110000             F0        
20    34         34         100010               22        
21    20         20         10100                14        
22    0          0          0                    0         
23    25         25         11001                19        
24    45         45         101101               2D        
25    3          3          11                   3         
26    -46        210        11010010             D2        
27    -46        210        11010010             D2        
28    29         29         11101                1D        
29    33         33         100001               21        
30    29         29         11101                1D        
31    26         26         11010                1A        
32    -5         251        11111011             FB        
33    -36        220        11011100             DC        
34    12         12         1100                 C         
35    45         45         101101               2D        
36    -50        206        11001110             CE        
37    0          0          0                    0         
38    -6         250        11111010             FA        
============================================================
Execution Time: 0.000431 seconds
